Customer_ID,Communication_Day,Communication_Type,Communication_Time,City,DateOfBirth,Qualification,Gender,Marital_Status,Occupation_Code,Total_Previous_Email_Sent,Total_Email_Open,Total_Previous_Email_Clicked,Total_Previous_SMS_Sent,Total_Previous_SMS_Replied,Total_Previous_Calls_Made,Total_Previous_Calls_attended,Total_Previous_Facebook_Notification,Total_Previous_Facebook_Clicked,Successfulchannel
1125868,Sunday,promotional,8AM_11AM,Tier1,11-12-1976,,male,m,self employeed -professional,10,10,2,16,1,13,5,9,0,email
4972095,Wednesday,service,8AM_11AM,Tier1,07-04-1992,Graduate,male,u,self employeed -nonprofessional,11,4,2,19,5,14,0,8,3,email
809437,Monday,service,8AM_11AM,Tier1,16-06-1990,PHD,male,married,salaried,16,2,2,16,1,10,1,3,2,email
4220908,Thursday,service,2PM_5PM,Tier1,29-10-1976,Post Graduate,male,married,self employeed -professional,19,2,1,17,1,15,2,5,0,sms
2663054,Sunday,promotional,8AM_11AM,Tier1,07-08-1960,,male,u,salaried,19,10,1,18,5,9,3,10,3,sms
833878,Monday,promotional,5PM_8PM,Tier1,08-08-1984,Diploma,male,married,self employeed -professional,15,4,0,10,3,12,0,6,3,sms
3757175,Friday,promotional,11AM_2PM,Tier1,28-07-1979,Post Graduate,male,m,self employeed -professional,20,4,2,14,3,11,5,6,3,email
4289313,Tuesday,promotional,5PM_8PM,Tier1,21-12-1982,,,married,self employeed -professional,15,10,1,14,3,6,1,6,2,email
837869,Friday,promotional,5PM_8PM,Tier1,02-05-1992,Others,male,m,self employeed -professional,13,8,0,16,4,12,0,8,2,sms
2657722,Friday,promotional,5PM_8PM,Tier1,29-12-1962,Diploma,male,married,salaried,19,3,2,14,1,14,0,10,3,sms
1228804,Sunday,promotional,8PM-12PM,Tier1,01-12-1964,Others,male,other,salaried,13,10,1,17,4,10,4,8,0,email
1900613,Tuesday,promotional,5PM_8PM,Tier1,09-08-1963,Post Graduate,male,unmarried,self employeed -professional,16,9,1,11,2,5,1,7,0,sms
